pourover,frenchpress,espresso,dripmachine,capsulemachine,instant,beantocupmachine,coldbrew,coffeeextract,other,n,pct
0,1,0,0,0,0,0,0,1,0,1,2.4740227610094015e-4
0,1,0,0,0,0,0,0,1,1,1,2.4740227610094015e-4
0,1,0,0,0,0,0,1,0,0,13,0.0032162295893122216
0,1,0,0,0,0,0,1,0,1,3,7.422068283028204e-4
0,1,0,0,0,0,1,0,0,0,1,2.4740227610094015e-4
0,1,0,0,1,0,0,0,0,0,14,0.0034636318654131617
0,1,0,0,1,0,0,0,0,1,3,7.422068283028204e-4
0,1,0,0,1,1,0,0,0,0,1,2.4740227610094015e-4
0,1,0,1,0,0,0,0,0,0,20,0.004948045522018802
0,1,0,1,0,0,0,0,0,1,3,7.422068283028204e-4
0,1,0,1,0,0,0,0,1,0,1,2.4740227610094015e-4
0,1,0,1,0,0,0,1,0,0,5,0.0012370113805047005
0,1,0,1,0,0,0,1,0,1,1,2.4740227610094015e-4
0,1,0,1,0,0,1,0,0,0,1,2.4740227610094015e-4
0,1,0,1,0,1,0,0,0,0,1,2.4740227610094015e-4
0,1,0,1,1,0,0,0,0,0,3,7.422068283028204e-4
0,1,0,1,1,0,0,1,0,0,2,4.948045522018803e-4
0,1,0,1,1,1,0,0,0,0,1,2.4740227610094015e-4
0,1,1,0,0,0,0,0,0,0,32,0.007916872835230085
0,1,1,0,0,0,0,0,0,1,10,0.002474022761009401
0,1,1,0,0,0,0,1,0,0,10,0.002474022761009401
0,1,1,0,0,0,0,1,0,1,3,7.422068283028204e-4
0,1,1,0,0,1,0,1,0,0,1,2.4740227610094015e-4
0,1,1,0,1,0,0,0,0,0,3,7.422068283028204e-4
0,1,1,0,1,0,0,0,0,1,1,2.4740227610094015e-4
0,1,1,0,1,0,0,1,0,0,3,7.422068283028204e-4
0,1,1,0,1,0,0,1,0,1,1,2.4740227610094015e-4
0,1,1,1,0,0,0,0,0,0,6,0.0014844136566056407
0,1,1,1,0,0,0,1,0,0,1,2.4740227610094015e-4
0,1,1,1,0,0,1,0,0,0,1,2.4740227610094015e-4
0,1,1,1,1,0,0,0,0,0,1,2.4740227610094015e-4
0,1,1,1,1,0,0,1,0,0,1,2.4740227610094015e-4
0,1,1,1,1,0,0,1,1,0,1,2.4740227610094015e-4
1,0,0,0,0,0,0,0,0,0,575,0.14225630875804057
1,0,0,0,0,0,0,0,0,1,121,0.029935675408213756
1,0,0,0,0,0,0,0,1,0,30,0.007422068283028204
1,0,0,0,0,0,0,0,1,1,2,4.948045522018803e-4
1,0,0,0,0,0,0,1,0,0,55,0.013607125185551707
1,0,0,0,0,0,0,1,0,1,19,0.0047006432459178625
1,0,0,0,0,0,0,1,1,0,4,9.896091044037606e-4
1,0,0,0,0,0,0,1,1,1,1,2.4740227610094015e-4
1,0,0,0,0,0,1,0,0,0,6,0.0014844136566056407
1,0,0,0,0,0,1,1,1,0,1,2.4740227610094015e-4
1,0,0,0,0,1,0,0,0,0,10,0.002474022761009401
1,0,0,0,0,1,0,0,1,0,1,2.4740227610094015e-4
1,0,0,0,0,1,0,1,0,0,6,0.0014844136566056407
1,0,0,0,0,1,0,1,0,1,2,4.948045522018803e-4
1,0,0,0,1,0,0,0,0,0,41,0.010143493320138546
1,0,0,0,1,0,0,0,0,1,4,9.896091044037606e-4
1,0,0,0,1,0,0,0,1,0,2,4.948045522018803e-4
1,0,0,0,1,0,0,0,1,1,1,2.4740227610094015e-4
1,0,0,0,1,0,0,1,0,0,8,0.0019792182088075212
1,0,0,0,1,0,0,1,0,1,2,4.948045522018803e-4
1,0,0,0,1,0,1,0,0,0,3,7.422068283028204e-4
1,0,0,0,1,1,0,1,0,0,1,2.4740227610094015e-4
1,0,0,1,0,0,0,0,0,0,92,0.022761009401286492
1,0,0,1,0,0,0,0,0,1,4,9.896091044037606e-4
1,0,0,1,0,0,0,0,1,0,3,7.422068283028204e-4
1,0,0,1,0,0,0,1,0,0,21,0.005195447798119743
1,0,0,1,0,0,0,1,0,1,2,4.948045522018803e-4
1,0,0,1,0,0,0,1,1,1,2,4.948045522018803e-4
1,0,0,1,0,0,1,0,0,0,2,4.948045522018803e-4
1,0,0,1,0,0,1,0,1,0,1,2.4740227610094015e-4
1,0,0,1,0,1,0,0,0,0,2,4.948045522018803e-4
1,0,0,1,0,1,0,1,0,0,3,7.422068283028204e-4
1,0,0,1,0,1,0,1,0,1,1,2.4740227610094015e-4
1,0,0,1,1,0,0,0,0,0,6,0.0014844136566056407
1,0,0,1,1,0,0,1,0,0,1,2.4740227610094015e-4
1,0,0,1,1,0,0,1,0,1,1,2.4740227610094015e-4
1,0,0,1,1,1,0,0,0,0,1,2.4740227610094015e-4
1,0,1,0,0,0,0,0,0,0,476,0.11776348342404751
1,0,1,0,0,0,0,0,0,1,49,0.012122711528946067
1,0,1,0,0,0,0,0,1,0,20,0.004948045522018802
1,0,1,0,0,0,0,0,1,1,10,0.002474022761009401
1,0,1,0,0,0,0,1,0,0,79,0.01954477981197427
1,0,1,0,0,0,0,1,0,1,3,7.422068283028204e-4
1,0,1,0,0,0,0,1,1,0,4,9.896091044037606e-4
1,0,1,0,0,0,1,0,0,0,5,0.0012370113805047005
1,0,1,0,0,0,1,0,1,0,1,2.4740227610094015e-4
1,0,1,0,0,0,1,1,0,0,3,7.422068283028204e-4
1,0,1,0,0,1,0,0,0,0,13,0.0032162295893122216
1,0,1,0,0,1,0,0,0,1,1,2.4740227610094015e-4
1,0,1,0,0,1,0,1,0,0,2,4.948045522018803e-4
1,0,1,0,0,1,0,1,1,0,1,2.4740227610094015e-4
1,0,1,0,0,1,1,0,0,0,1,2.4740227610094015e-4
1,0,1,0,1,0,0,0,0,0,11,0.0027214250371103412
1,0,1,0,1,0,0,0,0,1,1,2.4740227610094015e-4
1,0,1,0,1,0,0,0,1,0,1,2.4740227610094015e-4
1,0,1,0,1,0,0,1,0,0,4,9.896091044037606e-4
1,0,1,0,1,0,0,1,0,1,1,2.4740227610094015e-4
1,0,1,0,1,0,0,1,1,0,2,4.948045522018803e-4
1,0,1,0,1,1,0,0,1,1,1,2.4740227610094015e-4
1,0,1,1,0,0,0,0,0,0,47,0.011627906976744186
1,0,1,1,0,0,0,0,0,1,1,2.4740227610094015e-4
1,0,1,1,0,0,0,0,1,0,2,4.948045522018803e-4
1,0,1,1,0,0,0,0,1,1,1,2.4740227610094015e-4
1,0,1,1,0,0,0,1,0,0,10,0.002474022761009401
1,0,1,1,0,0,0,1,1,0,1,2.4740227610094015e-4
1,0,1,1,0,0,0,1,1,1,1,2.4740227610094015e-4
1,0,1,1,0,0,1,0,0,0,1,2.4740227610094015e-4
1,0,1,1,0,1,0,0,0,0,4,9.896091044037606e-4
1,0,1,1,1,0,0,0,0,0,2,4.948045522018803e-4
1,0,1,1,1,0,0,1,0,0,1,2.4740227610094015e-4
1,0,1,1,1,1,0,1,1,0,1,2.4740227610094015e-4
1,1,0,0,0,0,0,0,0,0,97,0.023998020781791193
1,1,0,0,0,0,0,0,0,1,38,0.009401286491835725
1,1,0,0,0,0,0,0,1,0,5,0.0012370113805047005
1,1,0,0,0,0,0,0,1,1,2,4.948045522018803e-4
1,1,0,0,0,0,0,1,0,0,24,0.005937654626422563
1,1,0,0,0,0,0,1,0,1,14,0.0034636318654131617
1,1,0,0,0,0,0,1,1,0,3,7.422068283028204e-4
1,1,0,0,0,0,1,0,0,0,2,4.948045522018803e-4
1,1,0,0,0,0,1,1,1,0,1,2.4740227610094015e-4
1,1,0,0,0,1,0,0,0,0,4,9.896091044037606e-4
1,1,0,0,0,1,0,0,0,1,3,7.422068283028204e-4
1,1,0,0,0,1,0,1,0,0,7,0.0017318159327065809
1,1,0,0,0,1,0,1,0,1,1,2.4740227610094015e-4
1,1,0,0,0,1,0,1,1,1,1,2.4740227610094015e-4
1,1,0,0,1,0,0,0,0,0,14,0.0034636318654131617
1,1,0,0,1,0,0,0,0,1,5,0.0012370113805047005
1,1,0,0,1,0,0,1,0,0,2,4.948045522018803e-4
1,1,0,0,1,0,0,1,0,1,1,2.4740227610094015e-4
1,1,0,0,1,0,0,1,1,0,2,4.948045522018803e-4
1,1,0,0,1,1,0,0,0,0,1,2.4740227610094015e-4
1,1,0,1,0,0,0,0,0,0,20,0.004948045522018802
1,1,0,1,0,0,0,0,0,1,3,7.422068283028204e-4
1,1,0,1,0,0,0,0,1,0,2,4.948045522018803e-4
1,1,0,1,0,0,0,1,0,0,7,0.0017318159327065809
1,1,0,1,0,1,0,0,0,0,1,2.4740227610094015e-4
1,1,0,1,0,1,0,1,0,0,1,2.4740227610094015e-4
1,1,0,1,0,1,0,1,1,1,1,2.4740227610094015e-4
1,1,0,1,1,0,0,0,0,0,3,7.422068283028204e-4
1,1,0,1,1,0,0,0,0,1,1,2.4740227610094015e-4
1,1,0,1,1,0,0,1,0,0,4,9.896091044037606e-4
1,1,0,1,1,0,0,1,0,1,1,2.4740227610094015e-4
1,1,1,0,0,0,0,0,0,0,93,0.02300841167738743
1,1,1,0,0,0,0,0,0,1,17,0.004205838693715982
1,1,1,0,0,0,0,0,1,0,11,0.0027214250371103412
1,1,1,0,0,0,0,1,0,0,26,0.006432459178624443
1,1,1,0,0,0,0,1,0,1,6,0.0014844136566056407
1,1,1,0,0,0,0,1,1,0,6,0.0014844136566056407
1,1,1,0,0,0,1,0,0,0,5,0.0012370113805047005
1,1,1,0,0,0,1,1,0,0,1,2.4740227610094015e-4
1,1,1,0,0,1,0,0,0,0,3,7.422068283028204e-4
1,1,1,0,0,1,0,0,0,1,1,2.4740227610094015e-4
1,1,1,0,0,1,0,0,1,1,1,2.4740227610094015e-4
1,1,1,0,0,1,0,1,0,0,4,9.896091044037606e-4
1,1,1,0,1,0,0,0,0,0,3,7.422068283028204e-4
1,1,1,0,1,0,0,0,0,1,3,7.422068283028204e-4
1,1,1,0,1,0,0,0,1,0,1,2.4740227610094015e-4
1,1,1,0,1,0,0,1,0,0,2,4.948045522018803e-4
1,1,1,0,1,0,1,0,0,0,1,2.4740227610094015e-4
1,1,1,0,1,1,0,0,0,0,1,2.4740227610094015e-4
1,1,1,1,0,0,0,0,0,0,18,0.004453240969816922
1,1,1,1,0,0,0,0,0,1,2,4.948045522018803e-4
1,1,1,1,0,0,0,0,1,0,1,2.4740227610094015e-4
1,1,1,1,0,0,0,1,0,0,10,0.002474022761009401
1,1,1,1,0,0,0,1,0,1,1,2.4740227610094015e-4
1,1,1,1,0,0,0,1,1,0,2,4.948045522018803e-4
1,1,1,1,1,0,0,0,0,0,2,4.948045522018803e-4
1,1,1,1,1,0,0,1,0,0,1,2.4740227610094015e-4
1,1,1,1,1,0,0,1,0,1,1,2.4740227610094015e-4
1,1,1,1,1,0,1,1,0,0,1,2.4740227610094015e-4
1,1,1,1,1,1,0,0,0,0,1,2.4740227610094015e-4
1,1,1,1,1,1,0,1,0,0,1,2.4740227610094015e-4
,,,,,,,,,,381,0.0942602671944582
