option,value,n
cafe,0,2805
cafe,1,1170
cafe,,67
home,0,331
home,1,3644
home,,67
office,0,2545
office,1,1430
office,,67
onthego,0,3270
onthego,1,705
onthego,,67
other,0,3939
other,1,36
other,,67
