option,value,n
deliormarket,0,674
deliormarket,1,49
deliormarket,,3319
drivethru,0,628
drivethru,1,95
drivethru,,3319
localcafe,0,331
localcafe,1,392
localcafe,,3319
nationalchain,0,394
nationalchain,1,329
nationalchain,,3319
other,0,689
other,1,34
other,,3319
specialtyshop,0,285
specialtyshop,1,438
specialtyshop,,3319
