selection_ct,n,pct
0,2356,0.5828797624938149
1,1185,0.29317169717961405
2,330,0.08164275111331024
3,121,0.029935675408213756
4,35,0.008659079663532904
5,8,0.0019792182088075212
6,4,9.896091044037606e-4
7,2,4.948045522018803e-4
8,1,2.4740227610094015e-4
